alter v.改变，改动，变更
fear n./v.害怕，畏惧
feasible a.可行的
federal a.联邦的
fee n.费用，酬金
feed v.喂养，供给
fertile a.肥沃的，多产的
fetch v.取来，拿来
fever n.发烧，狂热
fiber n.纤维
finance n.财政，资金 v.资助
finite a.有限的
fireman n.消防员
flaw n.缺陷，瑕疵
fleet n.舰队，车队
flexible a.灵活的，柔韧的
flock n.一群 v.聚集
formula n.公式，配方
forth ad.向前，向外
fossil n.化石
found v.建立，创立
fraction n.小部分，分数
fragment n.碎片，片段
framework n.框架，构架
frank a.坦率的
freight n.货运，货物
friction n.摩擦，摩擦力
fuel n.燃料 v.给…加燃料
fund n.资金，基金
funeral n.葬礼
furnish v.配备家具，供应
gap n.缺口，间隔
garbage n.垃圾
gasoline n.汽油
gear n.齿轮，装备
gene n.基因
genius n.天才
genuine a.真实的，真诚的
germ n.细菌，病菌
gesture n.手势，姿势
glance vi.扫视，一瞥
glory n.光荣，荣誉
golf n.高尔夫球
govern v.统治，管理
grace n.优雅，恩惠
gradual a.逐渐的
grain n.谷物，颗粒
grant vt.授予，准许
grass n.草，草地
grateful a.感激的
gravity n.重力，严重性
grease n.油脂 v.涂油
guarantee n./v.保证，担保
guild n.行会，协会
gymnasium n.体育馆
halt v./n.停止，暂停
hamper vt.妨碍，阻碍
handle n.把手 v.处理
harbor n.港口 v.藏匿
haste n.匆忙，草率
hazard n.危险，危害
heading n.标题
heap n.堆 v.堆积
hesitate vi.犹豫，踌躇
highlight vt.强调 n.亮点
hint n./v.暗示，提示
hook n.钩子 v.钩住
horizon n.地平线，眼界
host n.主人，主持人
household n.家庭 a.家用的
humble a.谦卑的，简陋的
hydrogen n.氢
ideal a.理想的 n.理想
identical a.相同的
ignore vt.忽视，不理睬
illustrate vt.举例说明，图解
immense a.巨大的
immerse v.浸入，沉浸
impact n./v.影响，撞击
implement n.工具 vt.实施
implication n.暗示，含义
imply vt.暗示，意味着
import n./v.进口
impose vt.强加，征税
improve v.改善，提高
incident n.事件，事变
increase v./n.增加
indicate vt.表明，指示
individual a.个体的 n.个人
industrial a.工业的
infer vt.推断，推论
inform v.通知，告知
inherit v.继承
initial a.最初的 n.首字母
injure vt.伤害，损害
innocent a.无辜的，天真的
inquire v.询问，打听
insert vt.插入，嵌入
inspect vt.检查，视察
install vt.安装，设置
instance n.例子，实例
instant a.立刻的 n.瞬间
instead ad.代替，反而
institute n.学院，研究所
instruct vt.指导，教导
intense a.强烈的，紧张的
intend vt.打算，想要
interior a.内部的 n.内部
interpret v.口译，解释
interrupt v.打断，打扰
interval n.间隔，间歇
interview n./v.采访，面试
intimate a.亲密的
invade v.入侵，侵扰
invest v.投资
isolate vt.使隔离，孤立
issue n.问题 v.发布
jealous a.嫉妒的
joint n.关节 a.联合的
journal n.期刊，日记
junior a.年少的，初级的
justify vt.证明合理
keen a.热切的，敏锐的
kernel n.果仁，核心
keyboard n.键盘
kidnap vt.绑架
knit v.编织
label n.标签 v.标注
lag vi.落后
landscape n.风景，地貌
latter a.后者的
launch v.发射，发起
layer n.层
league n.联盟，社团
leisure n.空闲，闲暇
liable a.有责任的，易于…
liberate vt.解放
license n.执照 v.许可
limitation n.限制，局限
liquid n.液体 a.液态的
literature n.文学，文献
loan n./v.贷款，出借
locate vt.定位，坐落
lodge v.暂住，寄存
log n.原木，日志
loop n.环，圈
loyal a.忠诚的
luxury n.奢侈，奢侈品
machinery n.机器（总称）
magnet n.磁铁
maintain vt.维持，保养
manual a.手工的 n.手册
margin n.边缘，差额
marine a.海洋的
mass n.大量，团
mature a.成熟的
maximum n.最大值 a.最大的
meanwhile ad.与此同时
measure n.措施 v.测量
mechanical a.机械的
medal n.奖章
medium n.媒介 a.中等的
melt v.融化
memorize vt.记住
merchant n.商人
merge v.合并，融合
merit n.优点，功绩
meter n.米，仪表
migrate vi.迁徙，移居
minimum n.最小值 a.最小的
minor a.较小的 n.未成年人
miracle n.奇迹
mirror n.镜子 v.反映
mislead vt.误导
mixture n.混合物
mobile a.可移动的
modify vt.修改，修饰
moist a.潮湿的
mold n.模具 v.塑造
molecule n.分子
monument n.纪念碑
moral a.道德的 n.道德
mortgage n./v.按揭贷款
motivate vt.激励，激发
mold n.模型
multiply v.相乘，增多
mutual a.相互的
naked a.裸露的
narrow a.狭窄的 v.变窄
navy n.海军
negotiate v.谈判，协商
neutral a.中立的
nightmare n.噩梦
nominate vt.提名，任命
nonsense n.废话，荒谬
nuclear a.核的，核心的
numerous a.许多的
obey v.遵守，服从
object n.物体 v.反对
oblige vt.迫使，施恩惠
observe vt.观察，遵守
obtain vt.获得
occupy vt.占据，占用
occur vi.发生，出现
odd a.奇怪的，奇数的
offend vt.冒犯，得罪
operate v.操作，动手术
opponent n.对手，反对者
oppose vt.反对
organ n.器官，机构
orient n.东方 vt.定向
origin n.起源，出身
output n.产量，输出
overall a.全部的 n.工装裤
overlook vt.俯瞰，忽视
owe v.亏欠，归功于
oxygen n.氧气
pace n.步伐，速度
painter n.画家，油漆工
palace n.宫殿
pamphlet n.小册子
parallel a.平行的 n.平行线
participate vi.参加
particle n.微粒，粒子
particular a.特定的，挑剔的
passive a.被动的
patent n.专利 v.获批专利
pause vi./n.暂停
penalty n.惩罚，罚金
permanent a.永久的
permit v.允许 n.许可证
persist vi.坚持，持续
personnel n.全体人员
persuade vt.说服
petroleum n.石油
phenomenon n.现象
physical a.身体的，物理的
pierce v.刺穿
pill n.药片
pin n.大头针 v.钉住
pioneer n.先锋，开拓者
pipe n.管道，烟斗
pit n.坑，矿井
pitch v.投掷 n.音调
plunge v.纵身投入，猛跌
poison n.毒药 v.毒害
polish v.擦亮，润色
portion n.一部分
pose v.摆姿势，造成
postpone vt.推迟
potential a.潜在的 n.潜力
poverty n.贫穷
practise v.练习，从业
praise n./v.表扬
precaution n.预防措施
predict vt.预言
prefer vt.更喜欢
prejudice n.偏见
premier n.总理
prescribe v.开药方，规定
presence n.出席，存在
preserve v.保护，保存
prevail vi.盛行，获胜
primary a.主要的，初级的
prior a.优先的，在前的
private a.私人的
privilege n.特权
probe v.探查
proceed vi.继续进行
produce v.生产 n.农产品
profession n.职业
profit n.利润 v.获利
prohibit vt.禁止
prominent a.杰出的，突出的
promise n./v.承诺
promote vt.促进，升职
proof n.证据，证明
property n.财产，属性
proportion n.比例，部分
proposal n.提议，求婚
prospect n.前景，展望
protect vt.保护
proverb n.谚语
provision n.供给，条款
publication n.出版，刊物
pull v.拉，拽
punish vt.惩罚
purchase vt./n.购买
pursue vt.追求，从事
qualify v.（使）合格
quarrel n./vi.争吵
queue n.队伍 vi.排队
quote vt.引用
radical a.根本的，激进的
rag n.破布
rail n.栏杆，铁轨
rainbow n.彩虹
random a.随机的
range n.范围 v.变动
rank n.等级 v.位列
rapid a.迅速的
raw a.生的，未加工的
react vi.反应
realistic a.现实的
reality n.现实，真实
reap v.收获，收割
recession n.衰退，萧条
recognize vt.认出，承认
recommend vt.推荐，建议
recover v.恢复，痊愈
reduce vt.减少，降低
refer vi.参考，提及
reflect v.反射，反思
reform n./v.改革
refresh vt.使恢复精力
refuse v.拒绝 n.垃圾
regulate vt.管控，调节
reinforce vt.加强
reject vt.拒绝，驳回
relief n.宽慰，救济
rely vi.依靠
remove vt.移除，去掉
rent n.租金 v.租借
repeat v.重复
replace vt.替换
reproduce v.繁殖，复制
resemble vt.像，类似
reserve v.保留 n.储备
resist v.抵抗，抗拒
resolve v.解决，决心
resort vi.诉诸 n.度假胜地
restrict vt.限制
resume v.继续 n.简历
retail n.零售
retain vt.保持，保留
retire v.退休，退出
reverse v.颠倒 a.相反的
revise vt.修订，复习
reward n./v.奖励
rhythm n.节奏
ridiculous a.荒谬的
rigid a.僵硬的，死板的
rival n.对手 v.竞争
roar vi.咆哮
rough a.粗糙的，粗略的
route n.路线
routine n.常规 a.日常的
rub v.摩擦
rural a.农村的
sacrifice n./v.牺牲，献祭
safeguard vt.保护 n.保障措施
salary n.薪水
sample n.样本 v.取样
satisfy vt.使满意
scarce a.稀缺的
scandal n.丑闻
scare vt.惊吓
schedule n.日程 v.安排
scheme n.计划，阴谋
scold vt.责骂
scope n.范围，眼界
scratch v.抓，刮
screw n.螺丝 v.拧
seal n.海豹，印章 v.密封
secondary a.次要的，中学的
secure a.安全的 vt.获得
seek v.寻找，寻求
select v.挑选 a.精选的
senior a.年长的，高级的
separate v.分开 a.分开的
session n.会议，学期
severe a.严峻的，严厉的
shallow a.浅的
shelter n.庇护所 v.庇护
shift v.转移，换挡
shortage n.短缺
signal n.信号 v.发信号
significant a.重要的，显著的
similar a.相似的
simulate vt.模拟，假装
single a.单一的，单身的
sink v.下沉 n.水槽
sketch n.草图，梗概
slender a.苗条的，微薄的
slice n.薄片 v.切片
slight a.轻微的
slim a.苗条的
smooth a.平滑的 v.抚平
snap v.折断，猛咬
soak v.浸泡
sophisticated a.复杂的，老练的
spare a.多余的 v.饶恕
specimen n.标本，样本
spite n.恶意，不顾
split v.分裂，裂开
spoil vt.破坏，溺爱
sponsor n.赞助商 v.资助
stake n.桩，赌注
stale a.变质的，陈旧的
standard n.标准 a.标准的
stare vi.盯着看
static a.静止的
steady a.稳定的 v.稳固
steer v.驾驶，引导
stiff a.僵硬的
sting v.刺痛，叮咬
stock n.存货，股票
storage n.储藏，仓库
strain n.压力 v.拉紧
strip v.剥去 n.条带
stripe n.条纹
submit v.提交，屈服
substitute n.替代品 v.替代
summarize vt.总结
superior a.优越的，上级的
supplement n.增补，附录
surplus n.过剩，盈余
surround vt.包围
suspend vt.悬挂，暂停
sway v.摇摆
swear v.发誓，咒骂
temporary a.临时的
tentative a.试探性的
terminal a.末端的 n.终点站
territory n.领土，领域
textile n.纺织品
threat n.威胁
tolerance n.容忍，忍耐力
trace n.痕迹 v.追踪
transform vt.转变
transmit vt.传输，传播
trap n.陷阱 v.困住
tremendous a.巨大的
triumph n./vi.胜利
tunnel n.隧道
tutor n.导师，家教
ultimate a.最终的
uncover vt.揭露，揭开
undergo vt.经历
undertake vt.承担，着手
undo vt.撤销，解开
urban a.城市的
vacuum n.真空
vague a.模糊的
vanish vi.消失
variable a.多变的 n.变量
venture n.冒险 v.冒险做
version n.版本，说法
vertical a.垂直的
vessel n.船，容器
victim n.受害者
violent a.暴力的，猛烈的
virtual a.实际上的
visible a.可见的
vital a.至关重要的
welfare n.福利
whisper v./n.低语
wit n.才智，机智
withstand vt.经受，抵抗
wrap v.包裹
wreck n.残骸 v.毁坏
zone n.区域
